EURING,Scientific_Name,English_ioc,Clements_Common_Name,English_birdnet,French_ioc,French_birdnet,Spanish_ioc,Spanish_birdnet,Dutch_ioc,Dutch_birdnet,Norwegian_ioc,Norwegian_birdnet
13490,Ficedula hypoleuca,European Pied Flycatcher,European Pied Flycatcher,European Pied Flycatcher,Gobemouche noir,NA,Papamoscas cerrojillo,NA,Bonte Vliegenvanger,NA,svarthvit fluesnapper,NA
13640,Panurus biarmicus,Bearded Reedling,Bearded Reedling,Bearded Tit,Panure à moustaches,NA,Bigotudo,NA,Baardman,NA,skjeggmeis,NA
14370,Aegithalos caudatus,Long-tailed Tit,Long-tailed Tit,Long-tailed Tit,Orite à longue queue,NA,Mito común,NA,Staartmees,NA,stjertmeis,NA
14400,Poecile palustris,Marsh Tit,Marsh Tit,Marsh Tit,Mésange nonnette,NA,Carbonero palustre,NA,Glanskop,NA,løvmeis,NA
14420,Poecile montanus,Willow Tit,Willow Tit,Willow Tit,Mésange boréale,NA,Carbonero montano,NA,Matkop,NA,granmeis,NA
14480,Poecile cinctus,Grey-headed Chickadee,Gray-headed Chickadee,Siberian Tit,Mésange lapone,NA,Carbonero lapón,NA,Bruinkopmees,NA,lappmeis,NA
14540,Lophophanes cristatus,Crested Tit,Crested Tit,Crested Tit,Mésange huppée,NA,Herrerillo capuchino,NA,Kuifmees,NA,toppmeis,NA
14610,Periparus ater,Coal Tit,Coal Tit,Coal Tit,Mésange noire,NA,Carbonero garrapinos,NA,Zwarte Mees,NA,svartmeis,NA
14620,Cyanistes caeruleus,Eurasian Blue Tit,Eurasian Blue Tit,Eurasian Blue Tit,Mésange bleue,NA,Herrerillo común,NA,Pimpelmees,NA,blåmeis,NA
14640,Parus major,Great Tit,Great Tit,Great Tit,Mésange charbonnière,NA,Carbonero común,NA,Koolmees,NA,kjøttmeis,NA
14790,Sitta europaea,Eurasian Nuthatch,Eurasian Nuthatch,Eurasian Nuthatch,Sittelle torchepot,NA,Trepador azul,NA,Boomklever,NA,spettmeis,NA
14860,Certhia familiaris,Eurasian Treecreeper,Eurasian Treecreeper,Eurasian Treecreeper,Grimpereau des bois,NA,Agateador euroasiático,NA,Taigaboomkruiper spec.,Taigaboomkruiper,trekryper,NA
14870,Certhia brachydactyla,Short-toed Treecreeper,Short-toed Treecreeper,Short-toed Treecreeper,Grimpereau des jardins,NA,Agateador europeo,NA,Boomkruiper,NA,kortklotrekryper,NA
14900,Remiz pendulinus,Eurasian Penduline Tit,Eurasian Penduline-Tit,Eurasian Penduline Tit,Rémiz penduline,NA,Pájaro moscón europeo,NA,Buidelmees,NA,pungmeis,NA
15080,Oriolus oriolus,Eurasian Golden Oriole,Eurasian Golden Oriole,Eurasian Golden Oriole,Loriot d’Europe,NA,Oropéndola europea,NA,Wielewaal,NA,pirol,NA
15150,Lanius collurio,Red-backed Shrike,Red-backed Shrike,Red-backed Shrike,Pie-grièche écorcheur,NA,Alcaudón dorsirrojo,NA,Grauwe Klauwier,NA,tornskate,NA
15190,Lanius minor,Lesser Grey Shrike,Lesser Gray Shrike,Lesser Grey Shrike,Pie-grièche à poitrine rose,NA,Alcaudón chico,NA,Kleine Klapekster,NA,rosenvarsler,NA
15200,Lanius excubitor,Great Grey Shrike,Great Gray Shrike,Great Grey Shrike,Pie-grièche grise,NA,Alcaudón norteño,NA,Klapekster,NA,varsler,NA
15230,Lanius senator,Woodchat Shrike,Woodchat Shrike,Woodchat Shrike,Pie-grièche à tête rousse,NA,Alcaudón común,NA,Roodkopklauwier,NA,rødhodevarsler,NA
15390,Garrulus glandarius,Eurasian Jay,Eurasian Jay,Eurasian Jay,Geai des chênes,NA,Arrendajo euroasiático,NA,Gaai,NA,nøtteskrike,NA
15430,Perisoreus infaustus,Siberian Jay,Siberian Jay,Siberian Jay,Mésangeai imitateur,NA,Arrendajo siberiano,NA,Taigagaai ,NA,lavskrike,NA
15470,Cyanopica cooki,Iberian Magpie,Iberian Magpie,Iberian Magpie,Pie-bleue ibérique,NA,Rabilargo ibérico,NA,Blauwe Ekster,NA,blåskjære,NA
15490,Pica pica,Eurasian Magpie,Eurasian Magpie,Common Magpie,Pie bavarde,NA,Urraca común,NA,Ekster,NA,skjære,NA
